run,repeat,task,success_rate,length,total_transitions,status
8ts3v_020000,2,toilet_seat_down,70.0,10.0,100,ok
8ts3v_020000,2,open_grill,0.0,20.6,206,ok
8ts3v_020000,2,phone_on_base,0.0,25.0,250,ok
8ts3v_020000,2,take_usb_out_of_computer,100.0,3.3,33,ok
8ts3v_020000,2,take_lid_off_saucepan,100.0,7.3,73,ok
8ts3v_020000,2,turn_oven_on,10.0,16.5,165,ok
8ts3v_020000,2,beat_the_buzz,0.0,18.3,183,ok
8ts3v_020000,2,water_plants,10.0,21.6,216,ok
8ts3v_020000,2,unplug_charger,10.0,18.6,186,ok
8ts3v_005000,3,close_fridge,30.0,5.1,51,ok
8ts3v_005000,3,close_microwave,20.0,5.2,52,ok
8ts3v_005000,3,close_laptop_lid,10.0,18.8,188,ok
8ts3v_005000,3,toilet_seat_down,80.0,6.9,69,ok
8ts3v_005000,3,open_grill,0.0,12.6,126,ok
8ts3v_005000,3,phone_on_base,0.0,22.1,221,ok
8ts3v_005000,3,take_usb_out_of_computer,90.0,3.7,37,ok
8ts3v_005000,3,take_lid_off_saucepan,50.0,14.0,140,ok
8ts3v_005000,3,turn_oven_on,30.0,3.1,31,ok
8ts3v_005000,3,beat_the_buzz,10.0,13.8,138,ok
8ts3v_005000,3,water_plants,0.0,24.0,240,ok
8ts3v_005000,3,unplug_charger,10.0,15.9,159,ok
8ts3v_010000,3,close_fridge,40.0,1.2,12,ok
8ts3v_010000,3,close_microwave,40.0,10.2,102,ok
8ts3v_010000,3,close_laptop_lid,40.0,17.6,176,ok
8ts3v_010000,3,toilet_seat_down,80.0,11.3,113,ok
8ts3v_010000,3,open_grill,10.0,13.5,135,ok
8ts3v_010000,3,phone_on_base,0.0,24.3,243,ok
8ts3v_010000,3,take_usb_out_of_computer,100.0,3.0,30,ok
8ts3v_010000,3,take_lid_off_saucepan,100.0,3.4,34,ok
8ts3v_010000,3,turn_oven_on,10.0,10.9,109,ok
8ts3v_010000,3,beat_the_buzz,0.0,15.9,159,ok
8ts3v_010000,3,water_plants,0.0,22.5,225,ok
8ts3v_010000,3,unplug_charger,0.0,20.2,202,ok
8ts3v_015000,3,close_fridge,0.0,1.0,10,ok
8ts3v_015000,3,close_microwave,10.0,1.0,10,ok
8ts3v_015000,3,close_laptop_lid,30.0,2.4,24,ok
8ts3v_015000,3,toilet_seat_down,30.0,6.2,62,ok
8ts3v_015000,3,open_grill,0.0,6.8,68,ok
8ts3v_015000,3,phone_on_base,0.0,2.2,22,ok
8ts3v_015000,3,take_usb_out_of_computer,50.0,1.8,18,ok
8ts3v_015000,3,take_lid_off_saucepan,0.0,7.3,73,ok
8ts3v_015000,3,turn_oven_on,10.0,7.6,76,ok
8ts3v_015000,3,beat_the_buzz,10.0,3.8,38,ok
8ts3v_015000,3,water_plants,0.0,1.3,13,ok
8ts3v_015000,3,unplug_charger,0.0,1.9,19,ok
8ts3v_020000,3,close_fridge,60.0,7.3,73,ok
8ts3v_020000,3,close_microwave,70.0,11.1,111,ok
8ts3v_020000,3,close_laptop_lid,50.0,14.8,148,ok
8ts3v_020000,3,toilet_seat_down,60.0,11.0,110,ok
8ts3v_020000,3,open_grill,0.0,16.2,162,ok
8ts3v_020000,3,phone_on_base,0.0,23.1,231,ok
8ts3v_020000,3,take_usb_out_of_computer,90.0,4.8,48,ok
8ts3v_020000,3,take_lid_off_saucepan,100.0,4.9,49,ok
8ts3v_020000,3,turn_oven_on,20.0,16.9,169,ok
8ts3v_020000,3,beat_the_buzz,0.0,20.4,204,ok
8ts3v_020000,3,water_plants,0.0,22.5,225,ok
8ts3v_020000,3,unplug_charger,0.0,22.7,227,ok
