backbone	rho	epsilon	lr	max_forward_step	lambda_q	lambda_sa	lambda_mv	selected_run_name
vit_imagenet	0.5	0.05	0.000075	1	0.1	1	0.5	linux_method3_vit_ln_single_8ts1v_b8_seed1_i40000
r3m_bn_bi	0.5	0.05	0.0001	1	0.1	1	0.5	linux_method3_resnet_bn_affine_symmetric_two_branch_single_8ts1v_b20_seed1_i40000
