backbone	rho	epsilon	lr	max_forward_step	lambda_q	lambda_sa	lambda_mv	selected_run_name	raw_best_run_name	stage_label	overall_mean	overall_std	level1_mean	level1_std	level2_mean	level2_std	runner_up_gap	pooled_standard_error	decisive_at_one_se	within_one_se_count	selection_rule
vit_imagenet	1.0	0.05	0.000075	1	0.1	1	0.5	hpsA_h200_vit_imagenet_rho1p0_eps0p05_lr7p5e5_i40000	hpsA_h200_vit_imagenet_rho1p0_eps0p05_lr7p5e5_i40000	A1	35.277778	1.416394	39.444444	3.424674	31.111111	2.078699	0.5555559999999957	1.1564808582465456	False	3	raw_best
r3m_bn_bi	0.25	0.025	0.0001	1	0.1	1	0.5	hpsA_r3m_bn_bi_rho0p25_eps0p025_lr1e4_i40000	hpsA_r3m_bn_bi_rho0p25_eps0p025_lr1e4_i40000	A1	36.944444	1.416394	41.111111	2.832789	32.777778	2.832789	4.166665999999999	1.951047001276665	True	1	raw_best
