run_name	backbone	rho	epsilon	lr	max_forward_step	lambda_q	lambda_sa	lambda_mv
hpsA_vit_imagenet_rho0p25_eps0p05_lr7p5e5_i40000	vit_imagenet	0.25	0.05	0.000075	1	0.1	1	0.5
linux_method3_vit_ln_single_8ts1v_b8_seed1_i40000	vit_imagenet	0.5	0.05	0.000075	1	0.1	1	0.5
linux_method3_resnet_bn_affine_symmetric_two_branch_single_8ts1v_b20_seed1_i40000	r3m_bn_bi	0.5	0.05	0.0001	1	0.1	1	0.5
hpsA_r3m_bn_bi_rho0p25_eps0p05_lr1e4_i40000	r3m_bn_bi	0.25	0.05	0.0001	1	0.1	1	0.5
