run_name,backbone,rho,epsilon,lr,max_forward_step,lambda_q,lambda_sa,lambda_mv,run_dir,status,max_step,num_logged_steps,checkpoint_complete,loss_total__first1k_mean,loss_total__last1k_mean,loss_total__delta_last_minus_first,loss_total__slope_all_per10k,loss_total__slope_last10k_per10k,loss_total__last1k_std,loss_softdtw__first1k_mean,loss_softdtw__last1k_mean,loss_softdtw__delta_last_minus_first,loss_softdtw__slope_all_per10k,loss_softdtw__slope_last10k_per10k,loss_softdtw__last1k_std,loss_align__first1k_mean,loss_align__last1k_mean,loss_align__delta_last_minus_first,loss_align__slope_all_per10k,loss_align__slope_last10k_per10k,loss_align__last1k_std,loss_struct__first1k_mean,loss_struct__last1k_mean,loss_struct__delta_last_minus_first,loss_struct__slope_all_per10k,loss_struct__slope_last10k_per10k,loss_struct__last1k_std,loss_aux__first1k_mean,loss_aux__last1k_mean,loss_aux__delta_last_minus_first,loss_aux__slope_all_per10k,loss_aux__slope_last10k_per10k,loss_aux__last1k_std,soft_alignment_teacher_entropy__first1k_mean,soft_alignment_teacher_entropy__last1k_mean,soft_alignment_teacher_entropy__delta_last_minus_first,soft_alignment_teacher_entropy__slope_all_per10k,soft_alignment_teacher_entropy__slope_last10k_per10k,soft_alignment_teacher_entropy__last1k_std,soft_alignment_kl__first1k_mean,soft_alignment_kl__last1k_mean,soft_alignment_kl__delta_last_minus_first,soft_alignment_kl__slope_all_per10k,soft_alignment_kl__slope_last10k_per10k,soft_alignment_kl__last1k_std,soft_alignment_pred_entropy__first1k_mean,soft_alignment_pred_entropy__last1k_mean,soft_alignment_pred_entropy__delta_last_minus_first,soft_alignment_pred_entropy__slope_all_per10k,soft_alignment_pred_entropy__slope_last10k_per10k,soft_alignment_pred_entropy__last1k_std,soft_alignment_teacher_expected_deviation__first1k_mean,soft_alignment_teacher_expected_deviation__last1k_mean,soft_alignment_teacher_expected_deviation__delta_last_minus_first,soft_alignment_teacher_expected_deviation__slope_all_per10k,soft_alignment_teacher_expected_deviation__slope_last10k_per10k,soft_alignment_teacher_expected_deviation__last1k_std,soft_alignment_teacher_diag_mass__first1k_mean,soft_alignment_teacher_diag_mass__last1k_mean,soft_alignment_teacher_diag_mass__delta_last_minus_first,soft_alignment_teacher_diag_mass__slope_all_per10k,soft_alignment_teacher_diag_mass__slope_last10k_per10k,soft_alignment_teacher_diag_mass__last1k_std,softdtw_top1__first1k_mean,softdtw_top1__last1k_mean,softdtw_top1__delta_last_minus_first,softdtw_top1__slope_all_per10k,softdtw_top1__slope_last10k_per10k,softdtw_top1__last1k_std,emb_std__first1k_mean,emb_std__last1k_mean,emb_std__delta_last_minus_first,emb_std__slope_all_per10k,emb_std__slope_last10k_per10k,emb_std__last1k_std,adapter_grad_norm__first1k_mean,adapter_grad_norm__last1k_mean,adapter_grad_norm__delta_last_minus_first,adapter_grad_norm__slope_all_per10k,adapter_grad_norm__slope_last10k_per10k,adapter_grad_norm__last1k_std,head_grad_norm__first1k_mean,head_grad_norm__last1k_mean,head_grad_norm__delta_last_minus_first,head_grad_norm__slope_all_per10k,head_grad_norm__slope_last10k_per10k,head_grad_norm__last1k_std,rvt2_lite__backbone,rvt2_lite__repeats,rvt2_lite__tasks_per_repeat,rvt2_lite__episodes_per_task,rvt2_lite__overall_mean,rvt2_lite__overall_std,rvt2_lite__level1_mean,rvt2_lite__level1_std,rvt2_lite__level2_mean,rvt2_lite__level2_std,rvt2_lite__raw_csv
hpsA_vit_imagenet_rho0p25_eps0p05_lr7p5e5_i40000,vit_imagenet,0.25,0.05,0.000075,1,0.1,1,0.5,/home/paichichi/projects/TCC-core/wsl_result/tcc_core_runs/hpsA_vit_imagenet_rho0p25_eps0p05_lr7p5e5_i40000,complete,40000,40000,True,2.75765506809,2.1504998059,-0.60715526219,-0.0995351853443223,-0.046364951203107796,0.08519229514027955,2.08817715804,1.8164861184199999,-0.2716910396200003,-0.06955521881543189,-0.04312899831494258,0.0748988449836492,2.07137752988,1.8026364419399998,-0.26874108794000007,-0.06882728072804112,-0.042746228053707744,0.07428094508329841,0.16799621579000001,0.13849426267,-0.029501953120000007,-0.007279776461903017,-0.003827094183875927,0.009520633796118142,1.3389558152699998,0.66802737799,-0.6709284372799998,-0.05995993349842997,-0.006471905742884462,0.0452714470136534,1.55907935846,1.31448096795,-0.24459839050999999,-0.05962960128105305,-0.03419466145415694,0.058333666083370116,0.51229817537,0.4881554713,-0.02414270407000002,-0.00919767970973054,-0.008551567687956658,0.032972988928167725,2.06655140132,1.79649149538,-0.27005990593999996,-0.06940589136587048,-0.042076322304852073,0.059163636279954857,0.136355277,0.12590657848,-0.010448698519999994,-0.0024111039504295193,-0.0014266832880246371,0.010896241911794299,0.42587929334,0.46391554574000005,0.038036252400000026,0.00884447457859436,0.005256029467241118,0.026969426980594315,0.147617185,0.244265625,0.09664843999999997,0.023113182630112267,0.013396643732626442,0.042396212128754794,0.03653114929,0.0581024884,0.021571339109999997,0.006269833221607546,0.002460746869014267,0.001793133078281375,0.0,0.0,0.0,0.0,0.0,0.0,2.47031235827,2.5072417864600003,0.03692942819000011,0.1982023524569445,0.11956180119195402,0.4163566693165773,vit_imagenet,3,12,10,32.777778,1.416394,27.777778,2.078699,37.777778,1.571348,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_vit_imagenet_rho0p25_eps0p05_lr7p5e5_i40000/eval_raw.csv
linux_method3_vit_ln_single_8ts1v_b8_seed1_i40000,vit_imagenet,0.5,0.05,0.000075,1,0.1,1,0.5,/home/paichichi/projects/TCC-core/wsl_result/tcc_core_runs/linux_method3_vit_ln_single_8ts1v_b8_seed1_i40000,complete,40000,40000,True,2.75674300199,2.17915895313,-0.5775840488599999,-0.09262996861934875,-0.043667696736463264,0.09052783682847171,2.08542530225,1.84026842105,-0.2451568812,-0.062382010081561474,-0.04038156183415501,0.08038450574742266,2.06866898515,1.8265453445600002,-0.2421236405899998,-0.06164350815183233,-0.039992108663164966,0.0797058939203387,0.16756396482,0.13723168956999998,-0.030332275250000013,-0.007385136545894262,-0.003893903225883835,0.009732019836381115,1.34263540147,0.6777810693999999,-0.66485433207,-0.060495917347654346,-0.0065722617156250135,0.046200866407441504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150000021,0.255867178,0.10586715699999996,0.024971350184057526,0.013600962911629669,0.041192689162208335,0.03785871332,0.058584156479999996,0.020725443159999996,0.005932655810781234,0.002696128393089882,0.0020809916009727693,0.0,0.0,0.0,0.0,0.0,0.0,2.53907853544,2.816810193073073,0.27773165763307306,0.2266533943390388,0.14431386819826728,0.4309646032568479,vit_imagenet,3,12,10,35.555556,1.712337,35.555556,3.142697,35.555556,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/linux_method3_vit_ln_single_8ts1v_b8_seed1_i40000/eval_raw.csv
linux_method3_resnet_bn_affine_symmetric_two_branch_single_8ts1v_b20_seed1_i40000,r3m_bn_bi,0.5,0.05,0.0001,1,0.1,1,0.5,/home/paichichi/projects/TCC-core/wsl_result/tcc_core_runs/linux_method3_resnet_bn_affine_symmetric_two_branch_single_8ts1v_b20_seed1_i40000,complete,40000,40000,True,3.46806372619,2.5018196163399997,-0.9662441098500003,-0.13962725520254243,-0.018847003584446315,0.01838355125982407,2.5132011700500003,2.13941490912,-0.3737862609300002,-0.04727218832684449,-0.0044366813225349844,0.007312823678174167,2.49929808636,2.1225424048700003,-0.3767556814899997,-0.047575040587236245,-0.004456023484818624,0.007342358185767036,0.13901220702,0.16873828227999998,0.029726075259999984,0.0030308991195766143,0.00019553743842777406,0.0010413381456207186,1.9097251105800002,0.72480941318,-1.1849156974000001,-0.18471013318918572,-0.02882064488655047,0.03315198577331518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148475,0.131875,-0.016600000000000004,-0.003290330861431454,-0.00045800100458000823,0.024523585586125045,0.005169454909999999,0.018713848970000002,0.013544394060000003,0.001571929977056255,0.0001240014227134144,0.00013991139780246325,0.0,0.0,0.0,0.0,0.0,0.0,2.64500754818,0.18975248497000002,-2.45525506321,-0.3107392960006935,-0.03540623435100611,0.04885300341401061,r3m_bn_bi,3,12,10,28.055556,1.571348,28.888889,3.424674,27.222222,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/resnet_25k_bn_affine_symmetric_40k_25k_3x10_fair_restart_20260802.csv
hpsA_r3m_bn_bi_rho0p25_eps0p05_lr1e4_i40000,r3m_bn_bi,0.25,0.05,0.0001,1,0.1,1,0.5,/home/paichichi/projects/TCC-core/wsl_result/tcc_core_runs/hpsA_r3m_bn_bi_rho0p25_eps0p05_lr1e4_i40000,complete,40000,40000,True,3.19129096833,2.4994865054699997,-0.6918044628600004,-0.12136265381226945,-0.01767890144783963,0.018163033034050594,2.23564177906,2.1383155521600004,-0.09732622689999948,-0.029035863697656907,-0.004002726463789851,0.0068136329216878745,2.22177117822,2.12144013026,-0.10033104796000014,-0.029348788827544242,-0.0040209867275996704,0.006842825742305329,0.13869482426,0.16877832143000002,0.03008349717000003,0.003134050949742879,0.00019113020162850095,0.001048958856788221,1.91129837531,0.7223419120800001,-1.1889564632299998,-0.18465357972217333,-0.027352344756584785,0.033082658965933126,1.64647122375,2.07874053226,0.4322693085099998,0.029775533124131403,0.00030816632766364894,0.001518334657432626,0.57529994174,0.04269959266,-0.53260034908,-0.05912432460636518,-0.0043291537332165305,0.007245999743207912,1.31494645329,2.03575734392,0.7208108906299999,0.07218667742756502,0.004517178709984999,0.007844054586687417,0.30234823445000003,0.37449062006,0.07214238560999997,0.007006687007966474,0.00023050521631245175,0.0007439992805539504,0.20839457427,0.12585584198,-0.08253873229,-0.008576043601709245,-0.0003033899864588978,0.001088368034800214,0.14841875,0.131665625,-0.01675312499999998,-0.003415074781431281,-0.0005834338183343409,0.024899271881610816,0.00504924626,0.01879213644,0.013742890179999998,0.0016525793818194588,9.075690525396907e-05,0.00013992222424949658,0.0,0.0,0.0,0.0,0.0,0.0,2.6654353244099998,0.18735270564,-2.47808261877,-0.3216266186101091,-0.03452240067977423,0.048463844120819444,r3m_bn_bi,3,12,10,34.166667,1.800206,37.222222,3.142697,31.111111,2.832789,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_r3m_bn_bi_rho0p25_eps0p05_lr1e4_i40000/eval_raw.csv
hpsA_r3m_bn_bi_rho0p25_eps0p025_lr1e4_i40000,r3m_bn_bi,0.25,0.025,0.0001,1,0.1,1,0.5,/home/paichichi/projects/TCC-core/wsl_result/tcc_core_runs/hpsA_r3m_bn_bi_rho0p25_eps0p025_lr1e4_i40000,complete,40000,40000,True,4.37810846233,2.50648015073,-1.8716283116000003,-0.19549103773610832,-0.020916282171102366,0.019179302489594745,3.42556901397,2.14216253478,-1.28340647919,-0.10352956976420481,-0.005559947271814665,0.008682017078665104,3.41156577847,2.1252955007,-1.28627027777,-0.10380574863750887,-0.005577028355865913,0.008723386910064253,0.1400234376,0.16870996209999997,0.028686524499999977,0.002765046929806208,0.00017782211564502064,0.0010567304871776837,1.90507889766,0.7286352293,-1.17644366836,-0.18392293592651007,-0.030712676751749823,0.03368685161942793,2.06159557467,2.07944155,0.017845975329999764,0.000926312488430762,0.0,0.0,1.34997021408,0.04585390767,-1.30411630641,-0.10473206611602262,-0.005577026581134279,0.008723390077233717,1.34979962161,2.03427517753,0.68447555592,0.06495502189101247,0.005089877437554769,0.007986048893860643,0.37079684189,0.375,0.004203158109999994,0.00023513496927517178,0.0,0.0,0.13038378936,0.125,-0.005383789360000002,-0.00030452759829070205,0.0,0.0,0.14758125000000002,0.1333875,-0.014193750000000033,-0.0028307274920035996,0.00045364294203642915,0.02436861775419361,0.0053281199700000005,0.018559947860000002,0.013231827890000002,0.001482710017965332,0.00012781625011756202,0.00013853728349083654,0.0,0.0,0.0,0.0,0.0,0.0,2.63859406208,0.19122934452,-2.44736471756,-0.29853156777328543,-0.037584107590095714,0.047561684840687075,r3m_bn_bi,3,12,10,36.944444,1.416394,41.111111,2.832789,32.777778,2.832789,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_r3m_bn_bi_rho0p25_eps0p025_lr1e4_i40000/eval_raw.csv
hpsA_r3m_bn_bi_rho0p25_eps0p1_lr1e4_i40000,r3m_bn_bi,0.25,0.1,0.0001,1,0.1,1,0.5,/home/paichichi/projects/TCC-core/wsl_result/tcc_core_runs/hpsA_r3m_bn_bi_rho0p25_eps0p1_lr1e4_i40000,complete,40000,40000,True,2.7559280291199997,2.33548940876,-0.4204386203599997,-0.06371772220892107,-0.018523015963155608,0.031605621126188733,1.7964406575999998,1.95878410065,0.16234344305000015,0.03038165631451734,-0.003948050879243896,0.02304313009809379,1.78271296035,1.94268491156,0.15997195120999996,0.030047261649670767,-0.003898724493475051,0.022807622208022998,0.13727734366,0.16098046903,0.023703125369999994,0.00334467136355775,-0.0004865123831433232,0.003264943080322375,1.9189747508400001,0.75341061543,-1.1655641354100001,-0.1881987570458142,-0.02914993101218295,0.03535336573442386,1.43518758426,1.77927092266,0.34408333840000016,0.047595244583078546,-0.002853299813722194,0.02063076388472839,0.34752538277999995,0.16341399304999998,-0.18411138972999996,-0.01754798243657566,-0.001045424164742244,0.005628671297321473,1.2706778908599998,1.92423781018,0.6535599193200001,0.09338447084161026,0.00016925570731915303,0.021928908602276243,0.27428100274,0.22261086662,-0.051670136120000015,-0.0077212172119558425,-0.0017684021627264249,0.007106141184550768,0.22599474161,0.27770779396,0.05171305235000001,0.007944934400758465,0.0018679700948141021,0.009804635583451784,0.147953125,0.17147187500000002,0.023518750000000033,0.0053840205238728225,0.0034742422847424273,0.026064140948041527,0.0046000236,0.00442514979,-0.0001748738100000001,-0.0006509702182178714,0.0003560006785964076,0.00019905270175824265,0.0,0.0,0.0,0.0,0.0,0.0,2.77755741539,1.6188732457200001,-1.1586841696699999,-0.3206886495455799,-0.37572370989023524,0.2678201262118596,r3m_bn_bi,3,12,10,29.444444,0.392837,27.777778,2.832789,31.111111,3.424674,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_r3m_bn_bi_rho0p25_eps0p1_lr1e4_i40000/eval_raw.csv
hpsA_h200_r3m_bn_bi_rho0p5_eps0p05_lr1e4_i40000,r3m_bn_bi,0.5,0.05,0.0001,1,0.1,1,0.5,/home/paichichi/projects/TCC-core/wsl_result/tcc_core_runs/hpsA_h200_r3m_bn_bi_rho0p5_eps0p05_lr1e4_i40000,complete,40000,40000,True,3.46806372619,2.5018196163399997,-0.9662441098500003,-0.13962725520254243,-0.018847003584446315,0.01838355125982407,2.5132011700500003,2.13941490912,-0.3737862609300002,-0.04727218832684449,-0.0044366813225349844,0.007312823678174167,2.49929808636,2.1225424048700003,-0.3767556814899997,-0.047575040587236245,-0.004456023484818624,0.007342358185767036,0.13901220702,0.16873828227999998,0.029726075259999984,0.0030308991195766143,0.00019553743842777406,0.0010413381456207186,1.9097251105800002,0.72480941318,-1.1849156974000001,-0.18471013318918572,-0.02882064488655047,0.03315198577331518,1.7131691927,2.07885648359,0.3656872908900002,0.024943435556612423,0.00029100819411246253,0.0013389796401966684,0.78612888123,0.043685906600000005,-0.74244297463,-0.07251848048766975,-0.004747044545763837,0.007741333181506816,1.32604581533,2.03524038177,0.7091945664399999,0.06977158290975562,0.0047399001177320125,0.007880752886997583,0.28885857815,0.37451992459,0.08566134644000001,0.007334268884194904,0.00021288140440981442,0.0007029791385335924,0.24978677400000002,0.12594102924,-0.12384574476000001,-0.011398565984742967,-0.00035977431562034343,0.0011934270152658786,0.148475,0.131875,-0.016600000000000004,-0.003290330861431454,-0.00045800100458000823,0.024523585586125045,0.005169454909999999,0.018713848970000002,0.013544394060000003,0.001571929977056255,0.0001240014227134144,0.00013991139780246325,0.0,0.0,0.0,0.0,0.0,0.0,2.64500754818,0.18975248497000002,-2.45525506321,-0.3107392960006935,-0.03540623435100611,0.04885300341401061,r3m_bn_bi,3,12,10,31.111111,2.389535,31.111111,2.832789,31.111111,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_r3m_bn_bi_rho0p5_eps0p05_lr1e4_i40000/eval_raw.csv
hpsA_h200_r3m_bn_bi_rho1p0_eps0p05_lr1e4_i40000,r3m_bn_bi,1.0,0.05,0.0001,1,0.1,1,0.5,/home/paichichi/projects/TCC-core/wsl_result/tcc_core_runs/hpsA_h200_r3m_bn_bi_rho1p0_eps0p05_lr1e4_i40000,complete,40000,40000,True,3.71070244121,2.50248204859,-1.20822039262,-0.15403067366161088,-0.019383402533118353,0.01846603866816971,2.75642936112,2.13984531388,-0.6165840472399999,-0.06140502966220648,-0.004630930197700914,0.007528819444879838,2.74250263404,2.1229726766,-0.6195299574400002,-0.061704220591796324,-0.0046515283453352875,0.007559280061459895,0.13926757819,0.16874707146,0.029479493270000018,0.0029948472801750517,0.00021647190078531828,0.0010498820266369284,1.90854615594,0.72527346807,-1.1832726878700002,-0.1852512877722515,-0.029504935896826727,0.03323254672529379,1.73668190437,2.07888465878,0.3422027544099999,0.023890307649492747,0.0002780887700284775,0.0013385171403463105,1.0058207259,0.04408800412,-0.96173272178,-0.08559453387881186,-0.00492961953381078,0.008001038811967707,1.33334104217,2.03504769808,0.70170665591,0.06889198990088653,0.004823315768072746,0.007927614226712289,0.28569739317,0.37453187141,0.08883447824000001,0.007299644462451079,0.00019703869127758757,0.000685532075490645,0.292421475,0.1259708099,-0.16645066509999998,-0.01408500399222202,-0.0003594665623380657,0.0012825437356754703,0.14890625,0.132290625,-0.016615624999999995,-0.003243538607495945,-0.00015357693903576974,0.02386242122007687,0.00524099353,0.018704980679999997,0.013463987149999997,0.0015591645047988878,0.00012577789480937873,0.00013868748343357306,0.0,0.0,0.0,0.0,0.0,0.0,2.63802749967,0.19021603978999999,-2.44781145988,-0.30866291334886153,-0.03573622057922814,0.04831392035353705,r3m_bn_bi,3,12,10,28.333333,0.680414,32.777778,1.571348,23.888889,0.785674,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_r3m_bn_bi_rho1p0_eps0p05_lr1e4_i40000/eval_raw.csv
hpsA_h200_r3m_bn_bi_rho0p5_eps0p025_lr1e4_i40000,r3m_bn_bi,0.5,0.025,0.0001,1,0.1,1,0.5,/home/paichichi/projects/TCC-core/wsl_result/tcc_core_runs/hpsA_h200_r3m_bn_bi_rho0p5_eps0p025_lr1e4_i40000,complete,40000,40000,True,4.392677654910001,2.50609364667,-1.8865840082400007,-0.19721290921941384,-0.020746782682847156,0.0192288464891879,3.44023818519,2.1420326323600003,-1.2982055528299998,-0.10508043656075101,-0.005295224538205047,0.008671983120360213,3.42623304624,2.1251649888000004,-1.3010680574399998,-0.10535903891541086,-0.0053115297198603395,0.008711727025675907,0.14005371092,0.16868457125999997,0.02863086033999998,0.0027873457427597184,0.00017004504966964987,0.00106517635552551,1.90487894124,0.72812202096,-1.17675692028,-0.18426494537731664,-0.03090311471115959,0.03376070460524874,2.06249583742,2.07944155,0.01694571257999966,0.0009204728225440887,0.0,0.0,1.3637372189099999,0.04572339204,-1.31801382687,-0.10627951614820962,-0.005311530805388115,0.008711723361236332,1.3504754175,2.03438529305,0.6839098755500002,0.06553341664145279,0.004830441188992391,0.008012522842486568,0.37064940698,0.375,0.004350593020000015,0.00024494901192422783,0.0,0.0,0.13201620557000002,0.125,-0.007016205570000017,-0.0003957841741659617,0.0,0.0,0.147796875,0.1319875,-0.015809374999999987,-0.002857359426590548,-0.000560819068108194,0.023548964945406835,0.00532519535,0.01854216512,0.01321696977,0.0015151674113327103,0.00011067374608173753,0.00014215295842220658,0.0,0.0,0.0,0.0,0.0,0.0,2.63978348183,0.19135911935,-2.44842436248,-0.3062648081713375,-0.03803118697500132,0.048623594697433915,r3m_bn_bi,3,12,10,32.777778,3.068156,30.555556,4.779070,35.000000,1.360828,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_r3m_bn_bi_rho0p5_eps0p025_lr1e4_i40000/eval_raw.csv
hpsA_h200_r3m_bn_bi_rho0p5_eps0p1_lr1e4_i40000,r3m_bn_bi,0.5,0.1,0.0001,1,0.1,1,0.5,/home/paichichi/projects/TCC-core/wsl_result/tcc_core_runs/hpsA_h200_r3m_bn_bi_rho0p5_eps0p1_lr1e4_i40000,complete,40000,40000,True,2.89641694376,2.37824566555,-0.5181712782099996,-0.08645082123677544,-0.021947290303740707,0.0416489585060529,1.93482955128,1.97692284243,0.042093291150000045,0.005558784450568,-0.005205717593919581,0.033469578531100955,1.9211213225500001,1.96094397777,0.039822655219999836,0.005248724878576757,-0.005183007715778063,0.03321723208000571,0.13708642579,0.15977050804,0.022684082250000015,0.003099468809906228,-0.0002511521799917213,0.0036247411819207397,1.92317479196,0.8026456418400001,-1.1205291501199999,-0.18401921168036345,-0.03348315199769243,0.039461530151032216,1.32901594253,1.50134851547,0.17233257293999982,0.018794153075144468,-0.0021755210787994255,0.020784318444044162,0.59210539044,0.45959546521,-0.13250992523,-0.013545429022504845,-0.003007485385158457,0.016144281752727682,1.2703041963200001,1.92296508417,0.6526608878499998,0.09050244635639211,0.004031386729514879,0.024144580315233134,0.20784161484,0.13851773878,-0.06932387605999998,-0.009241448304410494,-0.0011367738315931355,0.0045647998638018855,0.32223661359,0.42233903973000003,0.10010242614000003,0.014167841341850243,0.0019732871162298745,0.010286018804903615,0.14826875,0.179665625,0.03139687499999999,0.007118311337456732,0.0038535382885353797,0.026699271225716536,0.0046380758000000005,0.00342391146,-0.0012141643400000006,-0.0009662047106949301,0.00023740961482969576,0.00016878461030754078,0.0,0.0,0.0,0.0,0.0,0.0,2.76736064961,2.30574639162,-0.46161425799,-0.10884246946118621,-0.5590393344281568,0.38989773105104875,r3m_bn_bi,3,12,10,24.444444,0.392837,29.444444,2.078699,19.444444,2.078699,/home/paichichi/projects/TCC-core/wsl_result/downstream_rvt2_lite_runs/hparam_search/hpsA_h200_r3m_bn_bi_rho0p5_eps0p1_lr1e4_i40000/eval_raw.csv
